City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lulea,SE,65.5842,22.1547,41.07,81,75,3.44,broken clouds
1,Hobart,AU,-42.8794,147.3294,40.05,90,1,9.22,clear sky
2,Hofn,IS,64.2539,-15.2082,51.82,71,100,10.36,light intensity drizzle
3,Bluff,NZ,-46.6,168.3333,37.92,83,7,6.13,clear sky
4,Ushuaia,AR,-54.8,-68.3,47.86,43,0,16.11,clear sky
5,Rikitea,PF,-23.1203,-134.9692,73.53,78,88,15.7,light rain
6,Roald,NO,62.5833,6.1333,58.12,54,0,8.05,clear sky
7,Carutapera,BR,-1.195,-46.02,86.13,61,67,11.81,broken clouds
8,La Ronge,CA,55.1001,-105.2842,50.25,71,100,11.5,overcast clouds
9,Albany,US,42.6001,-73.9662,60.58,63,100,1.01,overcast clouds
10,Saskylakh,RU,71.9167,114.0833,21.99,94,91,4.12,overcast clouds
11,Boyolangu,ID,-8.1181,111.8935,76.26,92,100,5.82,overcast clouds
12,Cabo San Lucas,MX,22.8909,-109.9124,93.61,64,0,3.31,clear sky
13,Antofagasta,CL,-23.65,-70.4,60.08,67,4,10.09,clear sky
14,Atuona,PF,-9.8,-139.0333,76.71,69,51,17.9,light rain
15,Kodiak,US,57.79,-152.4072,44.02,75,4,1.95,clear sky
16,Perdika,GR,39.3689,20.3039,70.65,67,67,4.99,broken clouds
17,Broome,US,42.2506,-75.833,60.42,64,100,3.0,overcast clouds
18,Yellowknife,CA,62.456,-114.3525,50.56,76,20,20.71,few clouds
19,Vanimo,PG,-2.6741,141.3028,77.59,87,99,3.85,overcast clouds
20,Montanha,BR,-18.1269,-40.3633,75.78,64,100,14.88,overcast clouds
21,Doha,QA,25.2867,51.5333,89.49,70,0,9.22,clear sky
22,Shenjiamen,CN,29.9576,122.298,76.57,92,3,14.23,clear sky
23,Verkhnyaya Inta,RU,65.9811,60.3094,29.91,64,98,6.58,overcast clouds
24,Qaanaaq,GL,77.484,-69.3632,19.9,68,93,11.63,overcast clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,60,75,10.36,broken clouds
26,Barrow,US,71.2906,-156.7887,30.22,80,100,10.36,overcast clouds
27,Jamestown,US,42.097,-79.2353,60.03,58,91,3.0,overcast clouds
28,Nizhneivkino,RU,58.194,49.5214,40.93,97,100,5.99,overcast clouds
29,Hermanus,ZA,-34.4187,19.2345,58.8,84,66,10.4,broken clouds
30,Iqaluit,CA,63.7506,-68.5145,35.33,87,100,5.75,light rain and snow
31,Saint George,US,37.1041,-113.5841,83.95,39,1,3.0,clear sky
32,Punta Arenas,CL,-53.15,-70.9167,48.31,46,0,12.66,clear sky
33,Guerrero Negro,MX,27.9769,-114.0611,77.0,65,2,10.0,clear sky
34,Butaritari,KI,3.0707,172.7902,80.92,78,86,15.88,light rain
35,Vestmanna,FO,62.1564,-7.1664,49.12,93,100,13.8,moderate rain
36,Mataura,NZ,-46.1927,168.8643,30.49,99,9,2.08,clear sky
37,Beloha,MG,-25.1667,45.05,69.93,61,0,4.83,clear sky
38,New Norfolk,AU,-42.7826,147.0587,39.7,72,2,2.93,clear sky
39,Okhotsk,RU,59.3833,143.3,37.56,67,100,10.11,overcast clouds
40,Ribeira Grande,PT,38.5167,-28.7,73.8,56,40,6.91,scattered clouds
41,Kapaa,US,22.0752,-159.319,80.58,90,75,5.75,light rain
42,Medina Del Campo,ES,41.3124,-4.9141,63.72,34,47,6.22,scattered clouds
43,Busselton,AU,-33.65,115.3333,54.01,79,6,9.08,clear sky
44,Bocana De Paiwas,NI,12.7857,-85.1227,83.48,76,94,1.07,overcast clouds
45,Parrita,CR,9.5201,-84.3225,81.61,76,76,5.41,broken clouds
46,Mahebourg,MU,-20.4081,57.7,70.09,78,40,5.75,scattered clouds
47,Port Elizabeth,ZA,-33.918,25.5701,67.1,95,75,11.5,broken clouds
48,Payson,US,40.0444,-111.7321,68.38,52,40,4.0,scattered clouds
49,Tabou,CI,4.423,-7.3528,78.22,79,26,9.22,scattered clouds
50,Grindavik,IS,63.8424,-22.4338,53.55,87,75,17.27,broken clouds
51,Hambantota,LK,6.1241,81.1185,79.29,83,99,18.68,overcast clouds
52,Carnarvon,AU,-24.8667,113.6333,68.95,68,0,17.45,clear sky
53,Vaini,TO,-21.2,-175.2,71.76,83,40,9.22,scattered clouds
54,Brattvag,NO,62.6002,6.4434,56.77,54,0,8.05,clear sky
55,Lerwick,GB,60.1545,-1.1494,53.6,83,100,17.27,light rain
56,Northam,GB,51.0333,-4.2167,61.39,98,100,23.98,overcast clouds
57,Pisco,PE,-13.7,-76.2167,66.02,72,0,9.22,clear sky
58,Turba,EE,59.0831,24.225,48.54,95,20,8.05,few clouds
59,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,100,13.8,mist
60,Kavaratti,IN,10.5669,72.642,81.3,77,96,11.9,overcast clouds
61,Muravlenko,RU,63.7898,74.523,30.56,66,100,3.4,overcast clouds
62,Te Anau,NZ,-45.4167,167.7167,31.51,96,25,1.3,scattered clouds
63,Paamiut,GL,61.994,-49.6678,37.33,72,96,6.33,overcast clouds
64,Praia,CV,14.9215,-23.5087,86.54,79,40,18.41,scattered clouds
